Word,Pron,Definition,Example,Translation_PL,Example_PL
patient,ˈpeɪʃnt,"able to wait calmly for a long time or to accept difficulties, people’s annoying behaviour, etc. without becoming angry",You’ll just have to be patient and wait till I’m off the phone.,pacjent,"Musisz tylko uzbroić się w cierpliwość i poczekać, aż skończę rozmowę telefoniczną."
sensitive,ˈsensətɪv,easily upset or offended by events or things that people say,Throughout her career she remained very sensitive to criticism.,czuły,Przez całą swoją karierę pozostawała bardzo wrażliwa na krytykę.
open,ˈəʊpən,honest and not wanting to hide any facts from other people,The couple are quite open with each other about their feelings.,otwierać,Para jest ze sobą dość otwarta na temat swoich uczuć.
honest,ˈɒnɪst,saying what you really think and not hiding the truth or the facts,"I’m going to ask you something, and I want you to be honest with me.",uczciwy,"Zamierzam cię o coś zapytać i chcę, żebyś był ze mną szczery."
hard-working,ˌhɑːd ˈwɜːkɪŋ,working with a lot of effort,Sam is a hard-working student; he deserves to do well in his exams.,pracowity,"Sam jest pracowitym studentem; Zasługuje na to, by dobrze zdać egzaminy."
creative,kriˈeɪtɪv,someone who is creative is very good at using their imagination to make things or find solutions to problems,You’re so creative! I could never make my own clothes.,twórczy,Jesteś taki kreatywny! Nigdy nie mogłam sama uszyć ubrań.
bossy,ˈbɒsi,"always telling other people what to do, in a way that is annoying",My older sister was bossy when we were children but we get on well these days.,apodyktyczny,"Moja starsza siostra była apodyktyczna, kiedy byłyśmy dziećmi, ale dziś dobrze się dogadujemy."
disorganised,dɪsˈɔːɡənaɪzd,someone who is disorganised is very bad at arranging or planning things,Rob is so disorganised that he'd forgotten we had invited him to dinner.,zdezorganizowany,"Rob jest tak niezorganizowany, że zapomniał, że zaprosiliśmy go na kolację."
easy-going,ˌiːziˈɡəʊɪŋ,"not easily upset, annoyed or worried",Her easy-going nature made her popular.,Łatwy w obsłudze,"Jej wyluzowana natura sprawiła, że stała się popularna."
kind,kaɪnd,"someone who is kind tries to help people and make them happy or comfortable, and shows that they care about them",They were very kind to us and let us stay in their house as long as we liked.,rodzaj,"Byli dla nas bardzo mili i pozwolili nam zostać w swoim domu tak długo, jak chcieliśmy."
moody,ˈmuːdi,often changing quickly from being in a good temper to being in a bad temper,"Harry was a good-natured teenager, hardly ever moody.",nastrojowy,"Harry był dobrodusznym nastolatkiem, prawie nigdy nie był humorzasty."
negative,ˈneɡətɪv,"considering only the bad qualities of a situation, person, etc. and not the good ones",Jean rarely sounded so negative about her mother.,Minus,Jean rzadko kiedy brzmiała tak negatywnie o swojej matce.
sociable,ˈsəʊʃəbl,someone who is sociable is friendly and enjoys being with other people,Some research has shown that people without brothers and sisters tend to be less sociable.,towarzyski,"Niektóre badania wykazały, że ludzie bez braci i sióstr są mniej towarzyscy."
stubborn,ˈstʌbən,"determined not to change your mind, even when people think you are being unreasonable",Dave can be really stubborn once he’s made up his mind.,uparty,"Dave może być naprawdę uparty, gdy już podejmie decyzję."
increase,ɪnˈkriːs,"to become larger in number, amount or degree",The population increased dramatically in the first half of the century.,wzrost,Liczba ludności gwałtownie wzrosła w pierwszej połowie stulecia.
get/become easier,ɡet/bɪˌkʌm ˈiːziə,to be less and less difficult to do or understand,Downloading music is getting easier as new software is developed.,Zyskaj/stań się łatwiejszy,Pobieranie muzyki staje się coraz łatwiejsze wraz z opracowywaniem nowego oprogramowania.
get/become harder,ɡet/bɪˌkʌm ˈhɑːdə,to be more and more difficult to do or understand,The maths exams are becoming harder every year.,Stawaj się/stawaj się trudniejszy,Egzaminy z matematyki z roku na rok stają się coraz trudniejsze.
decrease,dɪˈkriːs,to become less or go down to a lower level,Violent crime has significantly decreased over the last ten years.,spadek,W ciągu ostatnich dziesięciu lat liczba przestępstw z użyciem przemocy znacznie spadła.
go down,ɡəʊ ˈdaʊn,"to become lower in level, amount, etc.",Computers have gone down in price.,schodzić,Ceny komputerów poszły w dół.
reduce,rɪˈdjuːs,"to make (something) smaller or less in size, amount or price",We need to reduce the amount of salt in our diet.,zmniejszyć,Musimy zmniejszyć ilość soli w naszej diecie.
improve,ɪmˈpruːv,"to make something better, or to become better",This course is for students wishing to improve their English.,poprawiać,"Ten kurs jest przeznaczony dla studentów, którzy chcą poprawić swój angielski."
rise,raɪz,"to increase in number, amount or value",House prices rose rapidly last year.,wzrost,Ceny domów gwałtownie wzrosły w zeszłym roku.
go up,ɡəʊ ˈʌp,"to increase in price, amount, level, etc.",Train fares have gone up.,do góry,Ceny biletów kolejowych poszły w górę.
fall,fɔːl,"to go down to a lower level, amount, price, etc., especially a much lower one",The island is warm all year round and winter temperatures never fall below 10 degrees.,jesień,"Na wyspie jest ciepło przez cały rok, a zimą temperatury nigdy nie spadają poniżej 10 stopni."
get better,ɡet ˈbetə,to improve,Her cooking isn’t really getting any better.,Bądź lepszy,Jej kuchnia wcale nie staje się lepsza.
get worse,ɡet ˈwɜːs,"to become more unpleasant, bad or severe",Conditions will get worse as the winter continues.,Gorzej,Warunki będą się pogarszać wraz z postępem zimy.
amazed,əˈmeɪzd,very surprised,You’d be amazed how much money you can save.,zdumiony,"Zdziwiłbyś się, ile pieniędzy możesz zaoszczędzić."
amazing,əˈmeɪzɪŋ,"very good, especially in an unexpected way",He’s an amazing player to watch.,zdumiewający,"To niesamowity zawodnik, którego się ogląda."
annoyed,əˈnɔɪd,sliɡhtly anɡry,I’ll be annoyed if we don’t finish by eight.,zirytowany,"Będę zirytowany, jeśli nie skończymy do ósmej."
annoying,əˈnɔɪ-ɪŋ,makinɡ you feel sliɡhtly anɡry,It’s annoying that we didn’t know about this before.,irytujący,"To denerwujące, że nie wiedzieliśmy o tym wcześniej."
disappointed,ˌdɪsəˈpɔɪntɪd,"unhappy because something you hoped for did not happen, or because someone or something was not as good as you expected",Hundreds of disappointed fans were unable to get tickets for the game.,rozczarowany,Setki zawiedzionych kibiców nie było w stanie zdobyć biletów na mecz.
disappointing,ˌdɪsəˈpɔɪntɪŋ,not as good as you hoped or expected,The result of the semi-finals was very disappointing.,Rozczarowujące,Wynik półfinałów był bardzo rozczarowujący.
embarrassed,ɪmˈbærəst,"feeling uncomfortable or nervous and worrying about what people think of you, for example because you have made a silly mistake, or because you have to talk or sing in public",Lori gets embarrassed if we ask her to sing.,Zakłopotany,"Hania wstydzi się, gdy prosimy ją o śpiewanie."
embarrassing,ɪmˈbærəsɪŋ,"making you feel ashamed, nervous or uncomfortable",This incident is deeply embarrassing for the government.,nieprzyjemny,Ten incydent jest głęboko zawstydzający dla rządu.
frightened,ˈfraɪtnd,feelinɡ afraid,I was frightened of being left by myself in the house.,wystraszony,"Bałam się, że zostanę sama w domu."
frightening,ˈfraɪtn-ɪŋ,makinɡ you feel afraid or nervous,Going into hospital can be very frightening for a child.,straszny,Pójście do szpitala może być dla dziecka bardzo przerażające.
relaxed,rɪˈlækst,"feeling calm, comfortable, and not worried or annoyed",I was feeling relaxed after my holiday.,rozluźniony,Czułam się zrelaksowana po wakacjach.
relaxing,rɪˈlæksɪŋ,makinɡ you feel relaxed,"After a busy week at work, I'm looking forward to a relaxing evening at home.",Relaksujące,Po pracowitym tygodniu w pracy nie mogę się doczekać relaksującego wieczoru w domu.
surprised,səˈpraɪzd,having the feeling you have when something unexpected or unusual happens,I was surprised to see her again so soon.,zaskoczony,"Byłem zaskoczony, że tak szybko ją znowu zobaczyłem."
surprising,səˈpraɪzɪŋ,unusual or unexpected,It’s surprising how quickly you get used to it.,zaskakujący,"To zaskakujące, jak szybko się do tego przyzwyczajasz."
tired,taɪəd,feeling that you want to sleep or rest,I’m so tired I could sleep for a week.,zmęczony,"Jestem tak zmęczony, że mógłbym spać przez tydzień."
tiring,ˈtaɪərɪŋ,making you feel that you want to sleep or rest,The journey was really tiring.,męczący,Podróż była naprawdę męcząca.
worried,ˈwʌrid,"unhappy because you keep thinking about a problem, or about something bad that might happen",The family became worried about her safety.,zmartwiony,Rodzina zaczęła się martwić o jej bezpieczeństwo.
worrying,ˈwʌri-ɪŋ,something that is worrying makes you feel anxious or worried,The pollution in our rivers is extremely worrying.,Niepokojące,Zanieczyszczenie naszych rzek jest niezwykle niepokojące.
remind you of something,rɪˈmaɪnd jʊ əv ˌsʌmθɪŋ,to make someone remember someone that they know or something that happened in the past,That song always reminds me of Tim and Liz's wedding.,przypominają ci o czymś,Ta piosenka zawsze przypomina mi o ślubie Tima i Liz.
make you think of something,ˌmeɪk jʊ ˈθɪŋk əv ˌsʌmθɪŋ,to make someone think about someone that they know or something that happened in the past,Those flowers make her think of her grandmother's garden.,"sprawiają, że o czymś myślisz",Te kwiaty przywodzą jej na myśl ogród jej babci.
have happy memories of something,hæv ˌhæpi ˈmeməriz əv ˌsʌmθɪŋ,to make someone remember someone that they know or something that happened in the past in a positive way,I have happy memories of our summer holidays in Wales.,mieć miłe wspomnienia z czegoś,Miło wspominam nasze letnie wakacje w Walii.
make you feel …,meɪk jʊ fiːl,"if a situation, event, etc. makes you feel good, strange, etc., that is the emotion or feeling that it gives you",Looking at photos of my aunt makes me feel sad.,"sprawiają, że czujesz się ...","Patrząc na zdjęcia mojej cioci, robi mi się smutno."
I'll never forget …,aɪl ˌnevə fəˈɡet,used to show that a memory is very strong,I'll never forget the time my dad fell off the boat!,Nigdy tego nie zapomnę...,"Nigdy nie zapomnę, kiedy mój tata wypadł z łodzi!"
I'll always remember …,aɪl ˌɔːlwəz rɪˈmembə,used to show that a memory is very strong,I'll always remember how kind they were when I was lost.,Zawsze będę pamiętać ...,"Zawsze będę pamiętać, jak mili byli, kiedy się zgubiłem."
sight,saɪt,the physical ability to see,He began to lose his sight six years ago.,wzrok,Zaczął tracić wzrok sześć lat temu.
sound,saʊnd,"something that you hear, or what can be heard",There were strange sounds coming from the next room.,dźwięk,Z sąsiedniego pokoju dochodziły dziwne dźwięki.
touch,tʌtʃ,"the sense that you use to discover what something feels like, by putting your hand or fingers on it",The room was dark but she found her way to the door by  touch.,Dotyk,"W pokoju było ciemno, ale dotykiem odnalazła drogę do drzwi."
smell ,smel,the ability to notice or recognise qualities by using your nose,Dogs have a very good sense of smell.,zapach ,Psy mają bardzo dobry węch.
taste,teɪst,the feeling that is produced by a particular food or drink when you put it in your mouth,The medicine had a slightly bitter taste.,smak,Lekarstwo miało lekko gorzki smak.
look at ,ˈlʊk ət,"to turn your eyes towards (someone or something), so that you can see them",The twins looked at each other and smiled.,Zerknij na ,Bliźniacy spojrzeli na siebie i uśmiechnęli się.
see,siː,"to notice or examine (someone or something), using your eyes","Can I see your ticket, please?",widzieć,Czy mogę zobaczyć twój bilet?
watch,wɒtʃ,"to look at (someone or something) for a period of time, paying attention to what is happening",Watch carefully. You may learn something.,zegarek,Obserwuj uważnie. Możesz się czegoś nauczyć.
listen,ˈlɪsn,to pay attention to what someone is saying or to a sound that you can hear,I listened to the rain falling on the roof.,słuchać,Wsłuchiwałem się w deszcz padający na dach.
hear,ˈhɪə,"to know that a sound is being made, using your ears",I couldn’t hear what they were saying most of the time.,słyszeć,"Przez większość czasu nie słyszałem, co mówili."
touch,tʌtʃ,"to put your hand, finger, etc. on (someone or something)",A hand touched her on the shoulder.,Dotyk,Czyjaś ręka dotknęła jej ramienia.
feel ,fiːl,"to give you a particular physical feeling, especially when you touch or hold something",His hands felt cold.,czuć ,Poczuł chłód w dłoniach.
hold,həʊld,"to have (something) in your hand, hands or arms",Could you hold my bag for me?,trzymać,Czy mógłbyś potrzymać dla mnie moją torbę?
smell ,smel,to notice or recognise a particular smell or to have a particular smell,Can you smell something burning? / My clothes smelt of smoke.,zapach ,Czy czujesz zapach spalenizny? / Moje ubrania śmierdziały dymem.
taste,teɪst,to have a particular kind of taste (= the feeling that is produced by a particular food or drink when you put it in your mouth),The food tasted better than it looked.,smak,Jedzenie smakowało lepiej niż wyglądało.
anxious,ˈæŋkʃəs,worried about something,She is anxious about the interview.,niepokojący,Jest zaniepokojona rozmową kwalifikacyjną.
cheerful,ˈtʃɪəfl,"happy, or behaving in a way that shows you are happy",Before the accident he had been cheerful and confident.,radosny,Przed wypadkiem był pogodny i pewny siebie.
dull,dʌl,not interesting or exciting,The weekly meeting tends to be dull.,Tępy,Cotygodniowe spotkania bywają nudne.
enjoyable,ɪnˈdʒɔɪəbl,something enjoyable gives you pleasure,Games can make learning more enjoyable.,przyjemny,"Gry mogą sprawić, że nauka będzie przyjemniejsza."
extraordinary,ɪkˈstrɔːdnri,very unusual or surprising,Organising the conference took an extraordinary amount of work.,nadzwyczajny,Organizacja konferencji wymagała niezwykłego nakładu pracy.
homesick,ˈhəʊmsɪk,feeling unhappy because you are a long way from your home,Some students feel homesick when they first go to university.,Tęskni,"Niektórzy studenci tęsknią za domem, gdy po raz pierwszy idą na uniwersytet."
lively,ˈlaɪvli,someone who is lively has a lot of energy and is very active,Looking after three lively children keeps me busy.,energiczny,"Opieka nad trójką energicznych dzieci sprawia, że jestem zajęta."
nervous,ˈnɜːvəs,"worried or frightened about something, and unable to relax",Paul always gets nervous when he has to give a presentation.,nerwowy,"Paul zawsze się denerwuje, gdy musi wygłosić prezentację."
optimistic,ˌɒptəˈmɪstɪk,believing that good things will happen in the future,I’m optimistic about our chances of winning.,optymistyczny,"Jestem optymistą, jeśli chodzi o nasze szanse na zwycięstwo."
peaceful,ˈpiːsfl,"a peaceful time, place or situation is quiet and calm without any worry or excitement",It’s very peaceful out here in the woods.,spokojny,W lesie jest bardzo spokojnie.
positive,ˈpɒzətɪv,"if you are positive about things, you are hopeful and confident, and think about what is good in a situation rather than what is bad",You’ve got to be more positive about your work.,Plus,Musisz być bardziej pozytywnie nastawiony do swojej pracy.
strange,streɪndʒ,"unusual or surprising, especially in a way that is difficult to explain or understand",It’s strange that we’ve never met before.,dziwny,"To dziwne, że nigdy wcześniej się nie spotkaliśmy."
stressful,ˈstresfl,"a job, experience or situation that is stressful makes you worry a lot",Moving to a new house is a very stressful experience.,stresujący,Przeprowadzka do nowego domu to bardzo stresujące doświadczenie.
unpleasant,ʌnˈpleznt,not pleasant or enjoyable,Tom got a rather unpleasant surprise when he opened the door.,nieprzyjemny,"Toma spotkała dość niemiła niespodzianka, gdy otworzył drzwi."
delicious,dɪˈlɪʃəs,very pleasant to taste or smell,The delicious smell of apple pie was coming from the kitchen.,pyszny,Pyszny zapach szarlotki dobiegał z kuchni.
negative,ˈneɡətɪv,"expecting that something bad will happen, or criticising or disapproving of someone or something",The news reports focused on the negative aspects of the situation.,Minus,Doniesienia prasowe skupiały się na negatywnych aspektach tej sytuacji.
dangerous,ˈdeɪndʒrəs,"likely to harm or kill someone, or cause very serious problems",The mountains are a dangerous place for walkers because the weather changes quickly.,niebezpieczny,"Góry są niebezpiecznym miejscem dla piechurów, ponieważ pogoda szybko się zmienia."
special,ˈspeʃl,"not ordinary or usual, but different in some way and often better or more important",He only wears this suit on special occasions.,specjalny,Nosi ten garnitur tylko na specjalne okazje.
drinkable,ˈdrɪŋkəbl,water that is drinkable is safe to drink,After the earthquake there was only a limited supply of drinkable water.,Picia,Po trzęsieniu ziemi zapas wody pitnej był ograniczony.
attractive,əˈtræktɪv,good-looking,"As well as being clever, he was also very attractive.",atrakcyjny,"Oprócz tego, że był bystry, był również bardzo atrakcyjny."
financial,"fəˈnænʃl, faɪ-",relating to money or the management of money,The Japanese government gives financial support to farmers.,finansowy,Japoński rząd udziela wsparcia finansowego rolnikom.
creative,kriˈeɪtɪv,involving the use of imagination to produce new ideas or things,He talks about the creative process of writing a poem.,twórczy,Opowiada o procesie twórczym pisania wiersza.
helpful,ˈhelpfl,always willing to help people,The waiter was only trying to be helpful.,pomocny,Kelner starał się tylko być pomocny.
important,ɪmˈpɔːtnt,having a big effect on people’s lives or on events in the future,Good qualifications are increasingly important.,ważny,Dobre kwalifikacje są coraz ważniejsze.
poisonous,ˈpɔɪznəs,containing poison or producing poison,Some mushrooms are extremely poisonous.,trujący,Niektóre grzyby są niezwykle trujące.
bucket list,ˈbʌkɪt lɪst,a list of things that you want to do before you die,Swimming with dolphins is one of the things on my bucket list.,Lista rzeczy do zrobienia,Pływanie z delfinami to jedna z rzeczy na mojej liście rzeczy do zrobienia.
take part in,teɪk ˈpɑːt ɪn,"to be involved in (an activity, sport, event, etc.) with other people",About 400 students took part in the protest.,Weź udział w,W proteście wzięło udział około 400 studentów.
perform,pəˈfɔːm,"to do something to entertain people, for example by acting a play or playing a piece of music",The children perform two plays each school year.,wykonać,W każdym roku szkolnym dzieci wystawiają dwie sztuki.
raise money,ˌreɪz ˈmʌni,"to do something to get money for a charity, school, etc.",The Christmas fair raises money for the school.,Zbieraj pieniądze,Jarmark Bożonarodzeniowy zbiera pieniądze na szkołę.
take up,ˌteɪk ˈʌp,to become interested in (a new activity) and to spend time doing it,"Roger took painting up for a while, but soon lost interest.",Podjąć,"Roger przez jakiś czas zajmował się malarstwem, ale szybko stracił zainteresowanie."
"go (backpacking, trekking, etc)",ɡəʊ ˈbækpækɪŋ/ˈtrekɪŋ,"to do an activity for pleasure, usually involvinɡ travellinɡ (for example without very much money, and carrying a backpack, or ɡoinɡ for a lonɡ, challenɡinɡ walk in the hills)",Utah is a great place to go hiking.,"iść (z plecakiem, trekking itp.)",Utah to świetne miejsce na piesze wycieczki.
explore,ɪkˈsplɔː,to travel around an area in order to find out about it,Venice is a wonderful city to explore.,badać,Wenecja to wspaniałe miasto do zwiedzania.
experience,ɪkˈspɪəriəns,"if you experience a problem, event or situation, it happens to you or affects you",Children need to experience things for themselves in order to learn from them.,doświadczenie,"Dzieci muszą same doświadczać różnych rzeczy, aby się od nich uczyć."
apply,əˈplaɪ,"to make a formal request, usually written, for something such as a job, a place at a university, or permission to do something",She applied to work as a volunteer in Nepal.,zastosować,Zgłosiła się do pracy jako wolontariuszka w Nepalu.
try,traɪ,"to do or use (something) for a short while to discover if it is suitable, successful, enjoyable, etc.",They decided they would try living in America for a while.,próbować,"Zdecydowali, że spróbują przez jakiś czas zamieszkać w Ameryce."
get in touch,ˌɡet ɪn ˈtʌtʃ,to start talking or writing to someone,Can I have your phone number in case I need to get in touch with you?,Skontaktuj się z nami,"Czy mogę prosić o twój numer telefonu na wypadek, gdybym musiał się z tobą skontaktować?"
get what someone's saying,ˌɡet wɒt ˌsʌmwʌnz ˈseɪ-ɪŋ,to understand something someone says,I don’t think she got the joke.,"Zrozum, co ktoś mówi","Nie sądzę, żeby zrozumiała żart."
get a bonus,ɡet ə ˈbəʊnəs,"to receive money added to your wages, especially as a reward for good work",Each worker gets an annual bonus when the company makes a profit.,Otrzymaj bonus,"Każdy pracownik otrzymuje premię roczną, gdy firma osiąga zysk."
get someone a sandwich,ˌɡet sʌmwʌn ə ˈsænwɪdʒ,"to buy or get someone two pieces of bread with cheese, meat, cooked egg, etc. between them and bring it back from somewhere","When you go to the café, can you get me a cheese salad sandwich?",Przynieś komuś kanapkę,"Kiedy idziesz do kawiarni, możesz przynieść mi kanapkę z sałatką serową?"
get tired of something,ɡet ˈtaɪəd əv ˌsʌmθɪŋ,"to become bored with something, because it is no longer interesting or has become annoying",I’m getting tired of watching television; let’s go for a walk.,Zmęczysz się czymś,Zaczynam się męczyć oglądaniem telewizji; Chodźmy na spacer.
get on well,ˌɡet ɒn ˈwel,"if people get on well, they like each other and have a friendly relationship with each other",The two girls get on well most of the time.,Dobrze się dogaduj,Obie dziewczyny przez większość czasu dobrze się dogadują.
get here,ˈɡet hɪə,to arrive,They won't get here till after nine o'clock.,Dojazd,Dotrą tu dopiero po dziewiątej.
keep in touch (with someone),ˌkiːp ɪn ˈtʌtʃ wɪð ˌsʌmwʌn,to keep writing to someone or calling them,I hope you'll keep in touch while you're away.,utrzymuj kontakt (z kimś),"Mam nadzieję, że pozostaniecie w kontakcie podczas waszej nieobecności."
lose touch (with someone),ˌluːz ˈtʌtʃ wɪð ˌsʌmwʌn,to stop writing or talking to someone,I lost touch with Julie after we moved.,stracić kontakt (z kimś),Straciłem kontakt z Julie po naszej przeprowadzce.
get on really well,ˌɡet ɒn ˌrɪəli ˈwel,"if people get on really well, they like each other very much and have a very friendly relationship with each other",The three boys have always got on really well ever since they started school together.,Naprawdę dobrze się dogadują,"Trzej chłopcy zawsze bardzo dobrze się dogadywali, odkąd zaczęli razem chodzić do szkoły."
see each other,ˈsiː iːtʃ ˌʌðə,to visit or meet someone,We haven't seen each other since we left school.,widzieć się nawzajem,"Nie widzieliśmy się od czasu, gdy skończyliśmy szkołę."
spend time with someone,ˌspend ˈtaɪm wɪð ˌsʌmwʌn,to use time doing something with a particular person/particular people,I want to spend more time with my family.,spędzić z kimś czas,Chcę spędzać więcej czasu z rodziną.
hang out,ˌhæŋ ˈaʊt,to spend a lot of time in a particular place or with particular people,I don’t really know who she hangs out with.,Powłóczyć się,"Naprawdę nie wiem, z kim się zadaje."
catch up with,ˌkætʃ ˈʌp wɪð,to spend time finding out what has been happening while you have been away or during the time you have not seen someone,When she gets home I want to catch up with Jo. We haven't seen each other for two years.,Nadrób zaległości,"Kiedy wróci do domu, chcę się z nią spotkać. Nie widzieliśmy się od dwóch lat."
get together,ˌɡet təˈɡeðə,"if people get together, they meet in order to spend time with each other",We must get together for a coffee.,Spotkajmy się,Musimy się spotkać na kawę.
